"","archetype","placement","player","deck_id","deck_cost","slug","archetype_encoding","archetype_power_level"
"201","Mitsurugi",50,"Steven Trifunoski","ryzeal-mitsurugi-564598",956.08,"ycs-orlando-2684",4,0
"202","Mitsurugi",12,"Matt Longworth","ryzeal-mitsurugi-580322",675.95,"ycs-sydney-2783",4,0
"203","Mitsurugi",10,"Manan Bhandari","ryzeal-mitsurugi-564543",939.37,"ycs-orlando-2684",4,0
"204","Mitsurugi",8,"Esteban Jesus Mena Campos","ryzeal-mitsurugi-595218",611.48,"ycs-mexico-city-2972",4,0
"205","Mitsurugi",25,"Jesse Kotton","ryzeal-mitsurugi-565298",955.22,"ycs-orlando-2684",4,0
"206","Mitsurugi",11,"Joo-Ho Ahn","ryzeal-mitsurugi-567782",1033.79,"ycs-birmingham-2704",4,0
"207","Mitsurugi",31,"Alexandre Xu","ryzeal-mitsurugi-569100",957.96,"ycs-birmingham-2704",4,0
"208","Mitsurugi",38,"Lorenzo Muselli","ryzeal-dogmatika-mitsurugi-567621",628.05,"ycs-birmingham-2704",4,0
"209","Mitsurugi",1,"Carlos Rafael Mejia Guardian","ryzeal-mitsurugi-570363",653.32,"latin-america-remote-duel-ycs-2703",4,0
"210","Mitsurugi",51,"Nathan Shimada","ryzeal-mitsurugi-572450",769.79,"ycs-orlando-2684",4,0
"211","Mitsurugi",35,"Carlos Marrero Cortina","ryzeal-dogmatika-mitsurugi-564534",766.45,"ycs-orlando-2684",4,0
"212","Mitsurugi",9,"Miguel Ernesto Mollo Benavidez","ryzeal-dogmatika-mitsurugi-586357",548.16,"ycs-buenos-aires-2891",4,0
"213","Mitsurugi",2,"Benjamin Tamarkin","ryzeal-mitsurugi-564482",951.03,"ycs-orlando-2684",4,0
"214","Mitsurugi",54,"Daniel Coto Grosser","ryzeal-mitsurugi-569957",934.06,"ycs-orlando-2684",4,0
"215","Mitsurugi",31,"Fernando Bryan Gonzales Arias","ryzeal-mitsurugi-569577",767.65,"latin-america-remote-duel-ycs-2703",4,0
"216","Odion",20,"Simon He","fiendsmith-odion-588737",760.04,"ycs-houston-2930",14,0
"217","Orcust",7,"Francesco Simoncelli","horus-orcust-548322",967.37,"ycs-bologna-2407",23,0
"218","Phantom Knights",10,"Micah Catelan","horus-fiendsmith-phantom-knights-576141",850.57,"ycs-sydney-2783",18,0
"219","Primite",37,"Sebastian Sanchez","fiendsmith-bystial-primite-564426",1335.3,"ycs-orlando-2684",21,0
"220","Rescue-ACE",28,"Jesus Barrios","fiendsmith-rescue-ace-590127",557.24,"ycs-houston-2930",15,0
"221","Ritual Beast",15,"Norman Salemme","ritual-beast-549274",126.55,"ycs-bologna-2407",24,0
