"","X","id","name","copies","deck_part","deck_id","archetype"
"219",11,18494511,"Icejade Ran Aegirine",1,0,"atlantean-mermail-565057","Mermail"
"220",12,14558127,"Ash Blossom & Joyous Spring",3,0,"atlantean-mermail-565057","Mermail"
"221",13,42141493,"Mulcharmy Fuwalos",3,0,"atlantean-mermail-565057","Mermail"
"222",14,81878201,"Abyss-sting Triaina",1,0,"atlantean-mermail-565057","Mermail"
"223",15,25311006,"Triple Tactics Talent",1,0,"atlantean-mermail-565057","Mermail"
"224",16,24224830,"Called by the Grave",1,0,"atlantean-mermail-565057","Mermail"
"225",17,2295440,"One for One",1,0,"atlantean-mermail-565057","Mermail"
"226",18,84211599,"Pot of Prosperity",1,0,"atlantean-mermail-565057","Mermail"
"227",19,80534031,"Virtue Stream",1,0,"atlantean-mermail-565057","Mermail"
"228",20,40366667,"Dominus Impulse",3,0,"atlantean-mermail-565057","Mermail"
"229",21,10045474,"Infinite Impermanence",3,0,"atlantean-mermail-565057","Mermail"
"230",0,69385019,"Mermail King - Neptabyss",1,1,"atlantean-mermail-565057","Mermail"
"231",1,23545031,"Mermail Abyssalacia",1,1,"atlantean-mermail-565057","Mermail"
"232",2,79130389,"Marincess Coral Anemone",1,1,"atlantean-mermail-565057","Mermail"
"233",3,90809975,"Toadally Awesome",2,1,"atlantean-mermail-565057","Mermail"
"234",4,440556,"Bahamut Shark",2,1,"atlantean-mermail-565057","Mermail"
"235",5,9453320,"Abysstrite, the Atlantean Spirit",1,1,"atlantean-mermail-565057","Mermail"
"236",6,74371660,"Mermail Abyssgaios",1,1,"atlantean-mermail-565057","Mermail"
"237",7,60517697,"Poseidra Abyss, the Atlantean Dragon Lord",1,1,"atlantean-mermail-565057","Mermail"
"238",8,33113958,"LeVirtue Dragon",1,1,"atlantean-mermail-565057","Mermail"
"239",9,21044178,"Abyss Dweller",1,1,"atlantean-mermail-565057","Mermail"
"240",10,67557908,"Number 4: Stealth Kragen",1,1,"atlantean-mermail-565057","Mermail"
"241",11,96633955,"Swordsoul Supreme Sovereign - Chengying",1,1,"atlantean-mermail-565057","Mermail"
