,id,name,country,event_date,winner,format,slug,player_count,is_approximate_player_count
158,65,NA Remote Duel YCS (December 2022),United States,2022-12-11,Cristian Urena,TCG,na-remote-duel-ycs-december-2022-65,514,0
159,52,YCS Costa Rica,Costa Rica,2022-11-26,Jesse Kotton,TCG,ycs-costa-rica-52,445,0
160,47,YCS Dortmund,Germany,2022-11-12,Vincenzo Orofino,TCG,ycs-dortmund-47,2580,0
161,42,YCS Pasadena 2022,United States,2022-11-06,Hani Yasser Jawhari,TCG,ycs-pasadena-2022-42,1805,0
162,34,YCS Minneapolis,United States,2022-10-22,Christopher LeBlanc ,TCG,ycs-minneapolis-34,1085,0
163,33,YCS Utrecht,Netherlands,2022-10-16,Joshua Schmidt,TCG,ycs-utrecht-33,2100,0
164,7,YCS Niagara Falls,Canada,2022-09-10,Raymond Dai,TCG,ycs-niagara-falls-7,837,0
165,469,Oceanic WCQ 2022,Australia,2022-09-03,Dino Spasovski,TCG,oceanic-wcq-2022-469,435,1
166,5,YCS Rio de Janeiro,Brazil,2022-08-27,João Paulo Lima,TCG,ycs-rio-de-janeiro-5,456,0
167,72,European WCQ 2022,Belgium,2022-08-21,Marcus Patel,TCG,european-wcq-2022-72,2078,0
168,3,Arkansas WCQ Regional,United States,2022-08-14,Aaron,TCG,arkansas-wcq-regional-3,50,0
169,2,Hollywood WCQ Regional,United States,2022-08-14,Kamal Crooks,TCG,hollywood-wcq-regional-2,100,0
170,600,North America WCQ 2022,United States,2022-07-17,Hansel Aguero,TCG,north-america-wcq-2022-600,1840,0
171,470,Germany National Championships,Germany,2022-06-19,Daniel Hartmann,TCG,germany-national-championships-470,1844,0
172,458,Italy National Championships,Italy,2022-06-19,Diego Ganzerli,TCG,italy-national-championships-458,650,1
173,457,Central America WCQ 2022,Panama,2022-06-19,Alain Muñoz G.,TCG,central-america-wcq-2022-457,672,1
174,467,Hungary National Championships,Hungary,2022-06-12,Szabó Tamás,TCG,hungary-national-championships-467,145,1
175,466,Denmark National Championship 2022,Denmark,2022-06-12,Junda Zhang,TCG,denmark-national-championship-2022-466,120,0
176,2222,Greece National Championships,Greece,2022-06-05,Stefanos Fostieris,TCG,greece-national-championships-2222,80,1
177,704,Honduras National Championships,Honduras,2022-06-04,Polidecto Correa,TCG,honduras-national-championships-704,200,1
178,615,Slovenia National Championships,Slovenia,2022-06-04,Karlo Siketic,TCG,slovenia-national-championships-615,122,0
179,599,Bulgaria National Championships,Bulgaria,2022-06-04,Alexander Manov,TCG,bulgaria-national-championships-599,120,0
180,468,Israel National Championships,Israel,2022-06-04,Shaked Assayag,TCG,israel-national-championships-468,150,0
181,699,YCS Hartford,United States,2022-05-29,Poe Jiang,TCG,ycs-hartford-699,1238,0
182,456,Finland National Championships,Finland,2022-05-29,Aatu Gröhn,TCG,finland-national-championships-456,783,1
183,2220,Austria National Championship,Austria,2022-05-21,Peter Müllner,TCG,austria-national-championship-2220,120,1
184,2219,Bolivia National Championship,Bolivia,2022-05-21,Fernando Morales Mamani,TCG,bolivia-national-championship-2219,100,1
185,523,Ireland National Championship,Ireland,2022-05-21,Matthew Brady,TCG,ireland-national-championship-523,128,0
186,27,YCS Guadalajara,Mexico,2022-05-01,Andres Torres,TCG,ycs-guadalajara-27,1243,0
187,9,YCS Charlotte,United States,2022-04-10,Elijah Green,TCG,ycs-charlotte-9,1005,0
188,50,EU Remote Duel YCS (January 2022),Germany,2022-01-25,Simon He,TCG,eu-remote-duel-ycs-january-2022-50,1284,0
189,2562,EU Remote Duel YCS,United Kingdom,2021-07-11,Raphael Neven,TCG,eu-remote-duel-ycs-2562,1796,0
190,339,South America Remote Duel YCS,Brazil,2021-07-10,Andres David T.,TCG,south-america-remote-duel-ycs-339,1179,0
